mapID,VEG,1HR,10HR,100HR,1kHR,10kHR,10k+HR,DUFF,GRASS,SHRUB,CANOPY,LITTER,ROT
430,Mississippi River alluvial plain loess slope forest,0.6,1.2,1.6,1.50,1.80,0,1,0.06,1.20,15.31,0.03,1.6
431,East Gulf Coastal Plain limestone forest,0.6,1,1.2,1.2,1,0,1,0.26,1.34,14.82,0.04,0.8
432,South Florida hardwood hammock forest,0.1,0.2,1.50,1.50,1.50,0,1,0.04,1.78,6.22,0.01,1
433,Atlantic Coastal Plain maritime grassland and woodland,0.2,0.4,0.8,0.2,0,0,0.2,0.48,0.75,0.80,0.12,0
434,Mississippi River dune woodland and forest,0.2,0.5,0.5,0.5,0.2,0,0.4,0.24,0.57,6.53,0.16,0.2
435,Tamaulipan clay grassland,0,0,0,0,0,0,0.2,0.77,0.06,0,0.13,0
436,South Texas sand sheet grassland,0,0,0,0,0,0,0,1.28,0,0,0.43,0
437,South Texas dune and coastal grassland,0,0,0,0,0,0,0,1.28,0,0,0.43,0
438,South Florida cypress dome forest,0.2,0.2,0.5,0.5,0.5,0,12,0.04,0.90,6.44,0.01,1
439,Carolina bay savanna,0.1,0.16,0.14,0.2,0,0,0.5,0.84,0.55,0.57,0.21,0
440,Caribbean swamp forest,0.2,0.2,0.5,0.5,0.5,0,4,0.04,0.90,10.79,0.01,1
441,Central Interior and Appalachian swamp forest,0.2,0.2,1.50,1.50,1.50,0,2,0.34,0.50,0.78,0.06,1
442,Great Plains prairie pothole grassland,0,0,0,0,0,0,1.5,1.37,0,0,0.74,0
443,Eastern Great Plains marsh grassland,0,0,0,0,0,0,1.5,1.37,0,0,0.74,0
445,Central Interior and Appalachian wetland grassland,0,0,0,0,0,0,3,0.84,0.45,0,0.46,0
448,Atlantic Coastal Plain nonriverine swamp forest,0.2,0.2,0.5,1,1,1,2,0.09,4.90,10.94,0.022,5
449,North-central Interior wet flatwoods forest,0.1,0.2,1.50,1.50,1.50,0,1.5,0.07,0.71,18.05,0.01,1
450,Edwards Plateau slope forest and woodland,0.3,0.6,1.2,0.4,0.2,0,1,0.18,0.73,7.02,0.046,0.3
451,Edwards Plateau mesic canyon forest,0.3,0.6,1.2,0.4,0.2,0,1,0.18,0.72,6.75,0.046,0.3
453,Ruderal upland - Old field grassland,0,0,0,0,0,0,0,1.34,1.02,1.13,0.47,0
454,Ruderal forest - Northern and Central hardwood and conifer,0.4,0.5,1,1,2,0,1,0.10,1.76,12.89,0.01,1.5
455,Managed tree plantation - Northern and Central ,0.5,0.5,1,1,1.50,0,1,0.15,0.16,10.59,0.05,5.50
456,Introduced wetland vegetation - Tree,0.5,1,3.00,3.00,0,0,1,0.21,0.46,7.19,0.09,1
457,South Florida coastal strand and maritime hammock forest,0.5,0.5,0.5,1.50,1,0,4,0,3.70,6.72,0,2.50
458,South Texas lomas shrubland,0,0,0,0,0,0,0,0.08,5.75,0,0.08,0
900,Water,0.5,0.25,0.25,0,0,0,0,0,2.2,0,1,1
